Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral type,Prop. Mot.,Rel. Parallax,Error,Error for one good plate,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
178,45 Bootis,15,3,25,16,15h07m22.1834s,+24d52m54.9837s,25,2873,5,A5,0.27,0.054,6.0,5.0,*,3416.00,,15 02 54.4,+25 15 31,4.93,F5   V,45 Boo,0.249,133,0.0541,5.2,G,15 07 18.0,+24 52 09
,,,,,,,,,,,,,,,,*,3419.00,,15 03 07.7,+25 18 22,10.09,K7   V,G 167-019,1.003,300,0.0598,3.6,F,15 07 23.4,+24 56 08
179,B. D. + 25  2874,15,3,25,18,15h07m22.115s,+24d54m54.9801s,25,2874,9.9,K5,0.96,0.061,10.0,19.0,*,3416.00,,15 02 54.4,+25 15 31,4.93,F5   V,45 Boo,0.249,133,0.0541,5.2,G,15 07 18.0,+24 52 09
,,,,,,,,,,,,,,,,*,3419.00,,15 03 07.7,+25 18 22,10.09,K7   V,G 167-019,1.003,300,0.0598,3.6,F,15 07 23.4,+24 56 08
180,Sigma Serpentis,16,17,1,16,16h22m04.9611s,+01d01m49.2082s,1,3215,4.8,F0,0.17,0.026,10.0,28.0,,3716.00,,16 17 00.3,+01 15 50,4.82,F0   V,SIG Ser,0.165,287,0.0423,9.3,G,16 22 04.3,+01 01 44
181,B. D. + 8  3689,18,21,8,44,18h25m46.8972s,+08d47m24.2591s,8,3689,7.7,G5,0.54,0.026,9.0,21.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
182,B. D. + 52  2294,18,49,52,51,18h51m14.827s,+52d58m14.9586s,52,2294,5.6,G5,0.29,0.043,7.0,20.0,,4371.00,,18 49 20.4,+52 50 45,5.51,G9   IVa,,0.259,355,0.0402,4.8,G,18 51 35.1,+52 58 29
183,Sigma Cygni,21,13,38,59,21h16m55.5287s,+39d24m06.9325s,38,4431,4.3,B8p,0.008,-0.007,9.0,24.0,,5126.00,,21 13 29.1,+38 58 31,4.23,B9   Iab,SIG Cyg,0.002,263,0.0083,10.6,G,21 17 24.9,+39 23 40
184,72 Cygni,21,31,38,5,21h35m04.2378s,+38d31m46.3837s,37,4359,5,K0,0.15,0.012,10.0,27.0,,5202.00,,21 30 41.3,+38 05 08,4.90,K0.5 IIIC*,72 Cyg,0.159,51,0.0104,9.2,G,21 34 46.5,+38 32 02
185,16 Cephei,21,58,72,42,21h59m27.5548s,+73d10m50.5042s,72,1009,5.2,F0,0.18,0.033,9.0,24.0,*,5321.00,,21 57 49.3,+72 42 14,5.03,F5   V,16 Cep,0.174,208,0.0309,9.6,G,21 59 14.8,+73 10 48
186,Beta Cassiopeiae,0,4,58,36,00h09m13.7772s,+59d09m23.7441s,58,3,2.4,F5,0.56,0.074,0.011,0.026,,16.00,,00 03 50.2,+58 35 53,2.27,F2   III-*,BET Cas,0.553,108,0.0695,6.6,G,00 09 10.7,+59 08 59
187,Eta Cassiopeiae,0,43,57,17,00h48m49.221s,+57d49m44.4921s,57,150,3.6,F8,1.24,0.173,6.0,12.0,*,155.00,A,00 43 02.7,+57 17 06,3.44,F9   V,ETA Cas,1.213,115,0.1717,1.8,G,00 49 05.7,+57 48 58
,,,,,,,,,,,,,,,,*,155.00,B,00 43 00.0,+57 17 00,7.51,M0-  V   *,SIG 60B,1.219,116,,,,00 49 02.9,+57 48 50
188,Alpha Ceti,2,57,3,42,03h02m13.8138s,+04d05m39.8204s,3,419,2.8,Ma,0.08,0.001,5.0,12.0,,629.00,,02 57 03.0,+03 41 51,2.53,M1.5 IIIa,ALP Cet,0.075,189,0.0051,6.5,G,03 02 16.7,+04 05 23
189,Lambda Tauri,3,55,12,12,04h00m32.5661s,+12d28m59.111s,12,539,var.,B3,0.015,0.012,8.0,20.0,,883.00,A,03 55 08.2,+12 12 28,3.47,"B3+A4V,IV",LAM Tau,0.013,217,-0.0020,12.5,,04 00 40.7,+12 29 25
190,Zeta Aurigae,4,55,40,56,05h01m59.4288s,+41d04m51.5124s,40,1142,3.9,K0,0.033,-0.003,5.0,16.0,,1127.00,,04 55 29.1,+40 55 47,3.75,"K4+B8II,V",ZET Aur,0.023,156,0.0014,7.3,G,05 02 28.6,+41 04 32
191,16 Virginis,12,15,3,52,12h20m06.7454s,+03d18m41.3006s,4,2604,5.1,K0,0.3,-0.011,8.0,21.0,*,2842.00,,12 15 16.1,+03 52 10,4.96,K0-  IIIb*,16 Vir,0.303,257,-0.0025,7.7,G,12 20 20.9,+03 18 45
192,Piazzi 243,12,56,18,55,13h00m56.0061s,+18d22m40.3015s,19,2622,6.1,G0,0.25,0.017,7.0,17.0,,2982.00,,12 55 44.2,+18 54 37,6.20,F6   Vs,,0.245,283,0.0204,11.1,,13 00 38.6,+18 22 23
193,70 Virginis,13,24,14,19,13h28m55.06s,+13d47m56.3844s,14,2621,5.2,F0,0.63,0.032,8.0,23.0,*,3076.00,,13 23 32.2,+14 18 46,4.98,G4   V,70 Vir,0.628,202,0.0539,6.9,F,13 28 25.8,+13 46 43
194,Tau Bootis,13,43,17,57,13h47m48.4551s,+17d27m03.7186s,18,2782,4.5,F5,0.48,0.043,7.0,16.0,,3144.00,A,13 42 30.5,+17 57 18,4.50,F6   IV,TAU Boo,0.483,275,0.0545,4.8,G,13 47 15.7,+17 27 24
,,,,,,,,,,,,,,,,,3144.00,B,13 42 30.0,+17 57 00,11.00,M2,,,,,,,13 47 18.6,+17 27 02
195,Kappa Bootis (fainter),14,10,52,15,14h13m34.3035s,+51d46m57.7971s,,,6.6,,0.07,0.022,9.0,16.0,,3235.00,A,14 09 54.0,+52 15 27,4.54,A8   IV,KAP2 Boo,0.048,100,0.0145,8.2,F,14 13 28.9,+51 47 24
,,,,,,,,,,,,,,,,,3235.00,B,14 09 52.7,+52 15 20,6.69,F1   V,KAP1 Boo,0.056,116,,,,14 13 27.7,+51 47 15
196,Kappa Bootis (brighter),14,10,52,15,14h13m34.3035s,+51d46m57.7971s,52,1782,4.6,,0.07,0.018,11.0,27.0,,3235.00,A,14 09 54.0,+52 15 27,4.54,A8   IV,KAP2 Boo,0.048,100,0.0145,8.2,F,14 13 28.9,+51 47 24
,,,,,,,,,,,,,,,,,3235.00,B,14 09 52.7,+52 15 20,6.69,F1   V,KAP1 Boo,0.056,116,,,,14 13 27.7,+51 47 15
,Mean,,,,,0,0,,,,A5,,0.02,7.0,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
197,Lambda Bootis,14,13,46,33,14h16m49.6849s,+46d05m12.8369s,46,1949,4.3,A0,0.24,0.036,9.0,25.0,,3246.00,,14 12 34.8,+46 32 50,4.18,A0p,LAM Boo,0.247,310,0.0411,8.0,G,14 16 22.9,+46 05 17
198,Theta Bootis,14,22,52,19,14h25m26.6816s,+51d51m56.8323s,52,1804,4.1,F8,0.47,0.062,11.0,25.0,*,3274.00,A,14 21 47.5,+52 18 46,4.05,F7   V,THE Boo,0.468,211,0.0699,11.2,G,14 25 11.8,+51 51 02
,,,,,,,,,,,,,,,,*,3274.00,B,14 21 48.0,+52 19 00,11.50,M3,,,,,,,14 25 14.9,+51 51 56
199,Beta Serpentis,15,42,15,44,15h46m36.4713s,+15d25m21.2696s,15,2911,3.7,A2,0.09,0.031,8.0,18.0,,3569.00,A,15 41 34.2,+15 44 04,3.67,A2   IV,BET Ser,0.082,127,0.0372,9.6,G,15 46 11.2,+15 25 18
,,,,,,,,,,,,,,,,,3569.00,B,15 41 36.0,+15 44 00,9.72,K3   V:,,,,,,,15 46 12.6,+15 25 19
200,Groombridge 2354,16,27,48,11,16h29m50.2964s,+47d58m00.1295s,48,2400,6.5,K0,0.3,-0.004,8.0,21.0,,3760.00,,16 27 25.6,+48 10 32,7.00,G0   V,,0.294,201,-0.0015,12.5,,16 30 14.9,+47 57 08
201,Eta Herculis,16,39,39,7,16h42m25.498s,+38d55m40.2639s,39,3029,3.6,K0,0.1,0.053,9.0,26.0,,3803.00,,16 39 27.9,+39 06 44,3.53,G7.5 IIIb*,ETA Her,0.091,160,0.0341,6.7,P,16 42 53.7,+38 55 20
202,Lalande 31528,17,15,9,34,17h19m45.3732s,+09d27m49.3659s,9,3366,8.2,G0,0.31,-0.022,7.0,18.0,*,3938.00,,17 15 26.3,+09 34 17,7.97,G0   V,Lal 31528,0.317,184,0.0120,7.3,X,17 20 11.6,+09 27 39
203,Beta Draconis,17,28,52,23,17h30m15.7578s,+52d18m30.8331s,52,2065,3,G0,0.012,0.014,8.0,24.0,,3982.00,,17 28 10.3,+52 22 31,2.79,G2   Ib-I*,BET Dra,0.025,303,0.0084,8.1,G,17 30 25.9,+52 18 05
204,Nu Draconis (prec.),17,30,55,15,17h31m56.5379s,+55d10m46.7874s,55,1944,5,A5,16.0,0.005,13.0,36.0,,3999.00,A,17 30 17.6,+55 14 27,4.87,A4m,NU2 Dra,0.152,70,0.0326,9.4,G,17 32 15.9,+55 10 22
,,,,,,,,,,,,,,,,,3999.00,B,17 30 12.3,+55 15 09,4.88,A6   V,NU1 Dra,0.151,69,,,,17 32 10.5,+55 11 03
205,Nu Draconis (fol.),17,30,55,15,17h31m56.5379s,+55d10m46.7874s,55,1945,5,A5,0.17,0.022,10.0,28.0,,3999.00,A,17 30 17.6,+55 14 27,4.87,A4m,NU2 Dra,0.152,70,0.0326,9.4,G,17 32 15.9,+55 10 22
,,,,,,,,,,,,,,,,,3999.00,B,17 30 12.3,+55 15 09,4.88,A6   V,NU1 Dra,0.151,69,,,,17 32 10.5,+55 11 03
,Mean,,,,,0,0,,,,,,0.016,8.0,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
206,Piazzi 368,18,2,8,52,18h06m46.5303s,+08d52m38.3979s,8,3581,7.7,F5,0.15,0.004,9.0,21.0,*,4145.00,,18 02 03.8,+08 52 08,7.70,F5   d,,0.157,156,0.0059,13.9,,18 06 50.8,+08 52 33
207,Groombridge 2527,18,8,54,15,18h10m01.8172s,+54d16m18.8561s,54,1950,5.9,G5,0.28,0.007,7.0,18.0,,4181.00,,18 08 28.6,+54 15 24,5.95,K1   III,,0.263,23,0.0215,8.9,F,18 10 31.6,+54 17 11
208,Delta Draconis,19,13,67,29,19h12m59.9054s,+67d39m27.8197s,67,1129,3.2,K0,0.13,0.03,10.0,25.0,*,4495.00,,19 12 31.9,+67 29 08,3.07,G9   III,DEL Dra,0.130,45,0.0280,8.9,G,19 12 33.3,+67 39 41
209,25 Aquilae,19,13,11,25,19h17m41.6389s,+11d35m47.2497s,11,3790,5,A0,0.01,0.006,5.0,14.0,,4501.00,,19 13 07.3,+11 24 53,5.28,F0   IV,OME1 Aql,0.015,4,0.0100,8.4,,19 17 49.0,+11 35 43
210,Groombridge 2809,19,14,46,49,19h16m52.2113s,+46d59m47.9866s,46,2658,6,F0,0.28,0.013,11.0,29.0,,4511.00,,19 13 59.1,+46 48 39,6.00,F6   IV:,,0.296,358,0.0163,16.8,,19 16 51.3,+46 59 56
211,16 Cygni (brighter),19,39,50,18,19h41m40.9878s,+50d32m09.916s,50,2847,6.3,,0.21,0.043,6.0,16.0,*,4634.00,A,19 39 09.3,+50 17 34,5.96,G1.5 Vb,16 Cyg,0.214,226,0.0466,1.2,G,19 41 48.9,+50 31 30
,,,,,,,,,,,,,,,,*,4634.00,B,19 39 12.2,+50 17 07,6.20,G3   V,,0.211,222,,,,19 41 52.0,+50 31 02
212,16 Cygni (fainter),19,39,50,17,19h41m41.0747s,+50d31m09.9217s,50,2848,6.4,,0.2,0.021,12.0,31.0,*,4634.00,A,19 39 09.3,+50 17 34,5.96,G1.5 Vb,16 Cyg,0.214,226,0.0466,1.2,G,19 41 48.9,+50 31 30
,,,,,,,,,,,,,,,,*,4634.00,B,19 39 12.2,+50 17 07,6.20,G3   V,,0.211,222,,,,19 41 52.0,+50 31 02
,Mean,,,,,0,0,,,,F0,,0.038,5.0,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
213,Kappa Pegasi,21,40,25,11,21h44m31.4842s,+25d38m33.3432s,24,4463,4.3,F5,0.037,+ .02r,7.0,20.0,,5250.00,,21 40 06.9,+25 11 07,4.13,F5   IV,KAP Peg,0.038,69,0.0338,4.9,G,21 44 38.7,+25 38 42
,,,,,,,,,,,,,,,,,5251.00,,21 40 06.0,+25 11 00,10.80,G9   g,,0.009,58,0.0079,18.5,,21 44 37.6,+25 38 34
214,4 Camelopardi,4,40,56,35,04h48m19.6077s,+56d45m51.2756s,56,973,5.4,A2,0.16,0.008,0.007,0.022,*,1057.00,,04 39 40.1,+56 34 46,5.34,A3m,4 Cam,0.155,160,0.0132,9.9,G,04 48 00.2,+56 45 25
215,Omicron Ursae majoris,8,22,61,3,08h30m20.1659s,+60d43m06.3962s,61,1054,3.5,G0,0.17,-0.004,6.0,19.0,,2010.00,,08 21 57.5,+61 03 09,3.36,G5   III,OMI UMa,0.172,230,0.0065,8.2,G,08 30 15.8,+60 43 05
216,36 Ursae majoris,10,24,56,30,10h30m26.1439s,+55d59m17.4401s,56,1459,4.8,F5,0.18,0.07,7.0,19.0,,2457.00,,10 24 01.3,+56 30 42,8.72,K7   V,Vys 30,0.185,258,0.0749,5.6,G,10 30 25.3,+55 59 56
,,,,,,,,,,,,,,,,,2459.00,,10 24 13.7,+56 29 36,4.84,F8   V,36 UMa,0.181,259,0.0748,2.8,G,10 30 37.5,+55 58 50
217,Groombridge 1658,10,27,40,56,10h32m51.3709s,+40d25m08.2379s,41,2101,4.8,F,0.14,0.023,7.0,19.0,,2466.00,,10 27 23.9,+40 56 24,4.75,A7   IV,,0.141,270,0.0287,11.1,,10 33 13.9,+40 25 31
218,Gamma Comae Berenices,12,22,28,49,12h26m59.6323s,+28d15m46.8628s,29,2288,4.6,K,0.12,-0.003,5.0,17.0,,2868.00,,12 21 57.2,+28 49 27,4.36,K1   IIIF*,GAM Com,0.119,225,0.0018,8.4,,12 26 56.2,+28 16 06
219,Delta Virginis,12,51,3,56,12h56m05.4065s,+03d23m29.8863s,4,2669,3.7,Ma,0.48,0.013,7.0,17.0,*,2968.00,,12 50 33.9,+03 56 27,3.38,M3+  III,DEL Vir,0.475,263,0.0200,7.5,G,12 55 36.2,+03 23 50
220,Beta 612,13,35,11,15,13h39m56.6724s,+10d44m34.0073s,11,2589,5.5,A,0.11,-0.001,8.0,23.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
221,Piazzi 194,13,42,6,51,13h47m00.5779s,+06d21m00.2426s,7,2690,6.3,F5,0.5,0.023,6.0,17.0,,3140.00,A,13 41 59.9,+06 51 12,6.33,G0-1 IV-V,,0.517,257,0.0287,4.6,G,13 46 57.1,+06 21 01
,,,,,,,,,,,,,,,,,3140.00,B,13 42 00.0,+06 51 00,10.05,M0   dp,CI 20-808,0.542,265,,,,13 46 57.0,+06 20 56
222,B. D. + 7  2692,13,43,6,53,13h48m00.4818s,+06d23m04.1082s,7,2692,10,,0.5,0.026,8.0,25.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,,,,,0,0,,,,,,0.024,5.0,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
223,Rho Bootis,14,28,30,49,14h32m19.2373s,+30d22m30.5203s,31,2628,3.8,K0,0.15,0.031,8.0,24.0,,3291.00,,14 27 31.1,+30 48 37,3.58,K3-  III,RHO Boo,0.154,319,0.0248,9.6,F,14 31 49.7,+30 22 17
224,Epsilon Bootis (prec.),14,41,27,30,14h45m22.3396s,+27d04m42.4713s,27,2417,5.1,,,0.014,11.0,28.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
225,Epsilon Bootis (fol.),14,41,27,30,14h45m22.3396s,+27d04m42.4713s,27,2417,2.7,K0,0.05,0.006,9.0,22.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,,,,,0,0,,,,,,0.009,7.0,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
226,Beta Bootis,14,58,40,47,15h01m46.4707s,+40d23m21.8548s,40,2840,3.6,G5,0.06,0.13,8.0,22.0,,3399.00,,14 58 10.6,+40 47 05,3.50,G8   IIIa*,BET Boo,0.055,235,0.0296,10.9,F,15 01 56.7,+40 23 25
227,Delta Bootis,15,11,33,41,15h15m01.3965s,+33d18m45.2698s,33,2561,3.5,K0,0.16,0.026,9.0,22.0,,3449.00,A,15 11 28.1,+33 41 16,3.47,G8   IIIF*,DEL Boo,0.143,145,0.0276,8.4,G,15 15 30.1,+33 18 53
,,,,,,,,,,,,,,,,,3449.00,B,15 11 30.0,+33 41 00,7.90,G0   V,,,,,,,15 15 31.3,+33 18 49
228,5 Serpentis,15,14,2,9,15h19m03.9146s,+01d47m08.4076s,2,2944,5.2,G,0.64,0.03,8.0,24.0,,3457.00,A,15 14 12.3,+02 08 37,5.06,F8   III-*,5 Ser,0.633,145,0.0349,5.4,G,15 19 18.7,+01 45 55
229,Iota Draconis,15,23,59,59,15h25m08.8339s,+59d37m58.9621s,59,1654,3.5,K0,0.01,0.02,10.0,25.0,*,3490.00,,15 22 42.1,+59 18 58,3.29,K2   III,IOT Dra,0.021,315,0.0388,10.7,G,15 24 55.7,+58 57 57
230,Lambda Serpentis,15,42,7,40,15h46m52.7595s,+07d21m22.2554s,7,3023,4.4,G,0.24,0.081,8.0,21.0,,3570.00,,15 41 35.3,+07 39 59,4.43,G0-  V,LAM Ser,0.241,251,0.0849,4.0,G,15 46 26.6,+07 21 10
231,Delta Coronae Borealis,15,45,26,22,15h49m12.3429s,+26d03m41.6651s,26,2737,4.7,G5,0.11,0.008,8.0,22.0,,3585.00,,15 45 23.9,+26 22 27,4.63,G3.5 III-*,DEL CrB,0.101,231,0.0125,12.5,,15 49 35.6,+26 04 05
232,Kappa Coronae Borealis,15,47,36,58,15h50m43.2874s,+36d39m54.5566s,36,2652,4.8,Mb,0.36,0.025,5.0,15.0,*,3592.00,,15 47 27.7,+35 58 03,4.82,K1   IVa,KAP CrB,0.350,182,0.0346,7.3,F,15 51 13.9,+35 39 26
233,Groombridge 3100 (prec.),20,11,52,49,20h13m38.9587s,+53d07m14.193s,52,2657,7,F5,0.18,0.007,9.0,27.0,*,4814.00,A,20 11 01.2,+52 48 59,7.02,F5   d,,0.183,16,0.0125,11.9,G,20 13 40.8,+53 07 31
,,,,,,,,,,,,,,,,*,4814.00,B,20 10 58.7,+52 48 21,9.10,K2,,0.009,252,,,,20 13 37.7,+53 06 34
234,Groombridge 3100 (fol.),20,11,52,49,20h13m38.9587s,+53d07m14.193s,,,9.1,,,0.015,15.0,36.0,*,4814.00,A,20 11 01.2,+52 48 59,7.02,F5   d,,0.183,16,0.0125,11.9,G,20 13 40.8,+53 07 31
,,,,,,,,,,,,,,,,*,4814.00,B,20 10 58.7,+52 48 21,9.10,K2,,0.009,252,,,,20 13 37.7,+53 06 34
,Mean,,,,,0,0,,,,,,0.009,8.0,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
235,611 Cygni,21,3,38,15,21h06m53.9907s,+38d39m07.7589s,38,4343,5.6,,5.26,0.282,9.0,29.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
236,612 Cygni,21,3,38,15,21h06m53.9907s,+38d39m07.7589s,38,4344,6.3,K5,5.14,0.286,7.0,23.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,,,,,0,0,,,,,,0.285,5.0,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
237,Delta Andromedae,0,34,30,19,00h39m19.9742s,+30d51m58.9767s,30,91,3.5,K2,0.17,0.15,0.008,0.023,,108.00,,00 33 58.6,+30 18 49,3.27,K3   III,DEL And,0.161,122,0.0290,1.8,G,00 39 19.6,+30 51 39
238,Zeta Andromedae,1,42,23,43,01h47m33.6113s,+24d12m58.6966s,23,106,4.3,K0,0.13,0.026,8.0,25.0,*,151.00,,00 42 02.1,+23 43 23,4.06,G8   IIIe,ZET And,0.126,232,0.0355,9.6,G,00 47 20.3,+24 16 01
239,Mu Andromedae,1,51,37,57,01h56m57.5502s,+38d26m21.7397s,37,175,3.9,A2,0.16,0.04,9.0,27.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
240,28 Cassiopeiae,1,51,58,38,01h57m53.3824s,+59d07m19.8047s,58,138,4.8,K0,0.1,0.068,6.0,15.0,,186.00,,00 50 42.2,+58 38 26,4.63,G8   IIIb*,UPS2 Cas,0.100,244,0.0354,6.7,X,00 56 39.9,+59 10 51
241,Eta Andromedae,1,52,22,53,01h57m34.7956s,+23d22m18.345s,22,153,4.6,G5,0.06,0.006,5.0,15.0,*,191.00,,00 51 51.8,+22 52 40,4.42,G8   IIIb,ETA And,0.062,226,0.0061,7.3,G,00 57 12.4,+23 25 03
242,Chi Piscium,1,6,20,30,01h11m22.3483s,+21d01m55.2206s,20,172,4.9,K0,0.023,0.008,5.0,15.0,,244.00,,01 06 04.5,+20 30 10,4.66,G8.5 III-*,CHI Psc,0.039,99,0.0136,7.9,G,01 11 27.2,+21 02 04
243,Zeta Piscium (prec.),2,9,7,3,02h14m16.6676s,+07d31m02.8921s,6,174,5.6,A5,0.15,0.021,12.0,29.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
244,Zeta Piscium (fol.),2,9,7,3,02h14m16.6676s,+07d31m02.8921s,6,175,6.5,F8,0.15,0.018,7.0,17.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,,,,,0,0,,,,,,0.019,6.0,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
245,38 Cassiopeiae,2,24,69,45,02h32m48.5439s,+70d11m38.8396s,69,102,6,F5,0.16,0.034,8.0,21.0,,303.00,,01 23 46.8,+69 45 00,5.81,F6   V,38 Cas,0.155,116,0.0378,12.5,,01 31 13.8,+70 15 53
246,Eta Piscium,2,26,14,50,02h31m29.1134s,+15d16m37.0029s,14,231,3.7,G5,0.034,-0.015,3.0,16.0,,314.00,,01 26 07.8,+14 49 49,3.62,G7   IIIa,ETA Psc,0.027,93,0.0139,5.5,P,01 31 29.0,+15 20 44
247,Chi Cassiopeiae,2,27,58,43,02h34m22.9805s,+59d09m26.6613s,58,260,4.9,K0,0.038,0.015,5.0,15.0,,319.00,,01 27 23.4,+58 43 07,4.71,G9   IIIb,CHI Cas,0.049,260,0.0192,7.3,G,01 33 55.8,+59 13 55
248,Upsilon Persei,2,32,48,7,02h38m41.5608s,+48d33m01.4429s,47,467,3.8,K0,0.13,0.029,10.0,27.0,,335.00,,01 31 51.0,+48 07 17,3.57,K3-  III,51 And,0.126,149,0.0209,1.6,G,01 37 59.6,+48 37 41
249,Nu Piscium,2,36,4,59,02h41m15.1453s,+05d24m43.2842s,4,293,4.7,K0,0.018,0.05,7.0,18.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
250,65 Andromedae,2,19,49,50,02h25m40.2609s,+50d17m10.2544s,49,656,4.9,K5,0.032,0,6.0,18.0,*,490.00,,02 18 56.9,+49 49 33,4.71,K4+  III,65 And,0.028,103,0.0083,8.7,G,02 25 37.4,+50 16 42
251,Theta Persei,2,37,48,48,02h43m46.4515s,+49d13m33.4194s,48,746,4.2,F8,0.35,0.074,6.0,20.0,,549.00,A,02 37 21.9,+48 48 20,4.12,F8   V,THE Per,0.347,104,0.0796,5.7,G,02 44 12.0,+49 13 42
,,,,,,,,,,,,,,,,,549.00,B,02 37 24.0,+48 48 00,10.06,M1   V,,0.347,104,,,,02 44 14.1,+49 13 22
252,Zeta Arietis,3,9,20,40,03h14m45.2001s,+21d02m22.1179s,20,527,5,A0,0.08,0.012,4.0,10.0,,672.00,,03 09 09.0,+20 40 26,4.89,A1   V,ZET Ari,0.076,201,0.0177,7.2,,03 14 54.0,+21 02 40
253,Nu Persei,3,38,24,16,03h43m57.2522s,+24d35m02.7584s,42,815,3.9,F5,0.008,0.004,7.0,18.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
254,Nu Tauri,3,58,5,43,04h03m19.2754s,+05d59m37.2685s,5,581,3.9,A0,0.009,0.009,9.0,27.0,,892.00,,03 57 50.0,+05 42 43,3.91,A1   V,NU Tau,0.002,101,0.0289,7.7,G,04 03 09.3,+05 59 21
255,Beta 883,4,46,10,54,04h51m32.0851s,+11d04m13.046s,10,654,7,F5,,0.036,5.0,16.0,,1084.00,M,04 45 39.9,+10 53 50,6.76,"F7+F7V,V",Lal 9091,0.078,99,0.0277,4.0,G,04 51 12.5,+11 04 04
,,,,,,,,,,,,,,,,,1084.00,A,04 45 39.9,+10 53 50,7.50,F7   V,Lal 9091,0.078,99,0.0277,4.0,G,04 51 12.5,+11 04 04
256,Tau Aurigae,5,42,39,9,05h48m56.0368s,+39d11m07.01s,39,1418,4.6,K0,0.035,0.009,7.0,22.0,,1325.00,,05 42 14.6,+39 08 49,4.52,G8   IIIF*,TAU Aur,0.041,225,0.0030,8.9,F,05 49 10.4,+39 10 51
257,Lalande 11471,5,59,35,24,06h05m42.3449s,+35d23m39.3985s,35,1334,6.1,G0,0.33,0.043,9.0,29.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
258,Beta 895,6,13,28,29,06h19m19.6578s,+28d26m38.7149s,28,1078,7.2,A3,,0.001,6.0,17.0,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
259,6 Lyncis,6,22,58,14,06h30m41.5167s,+58d10m10.0383s,58,932,6,G5,0.33,0.014,8.0,23.0,*,1499.00,,06 22 06.0,+58 14 09,5.88,K0   III-*,6 Lyn,0.335,184,0.0241,8.6,G,06 30 47.1,+58 09 45
260,Piazzi 305,6,57,29,30,07h03m20.1911s,+29d21m19.7284s,29,1441,6,F8,0.84,0.053,9.0,24.0,*,1647.00,,06 57 09.0,+29 30 17,5.93,G4   V,Lal 13576,0.841,169,0.0410,4.7,G,07 03 30.3,+29 20 13
261,Alpha Geminorum (prec.),7,28,32,6,07h34m24.3451s,+31d53m03.1426s,,,2.8,A0,,0.054,7.0,25.0,*,1785.00,M,07 28 13.0,+32 06 27,1.58,A2+v,ALP Gem,0.198,239,0.0747,2.5,G,07 34 36.0,+31 53 19
,,,,,,,,,,,,,,,,*,1785.00,A,07 28 13.0,+32 06 27,1.98,A1   V,ALP Gem,0.198,239,0.0747,2.5,G,07 34 36.0,+31 53 19
,,,,,,,,,,,,,,,,*,1785.00,B,07 28 12.0,+32 06 00,2.88,A2   Vm,ALP Gem,0.198,236,,,,07 34 35.0,+31 52 51
,,,,,,,,,,,,,,,,*,1785.00,C,07 28 14.7,+32 05 18,9.10,M1   Ve,,0.232,241,,,,07 34 37.4,+31 52 08
262,Alpha Geminorum (fol.),7,28,32,6,07h34m24.3451s,+31d53m03.1426s,,,2,A0,,0.085,7.0,24.0,*,1785.00,M,07 28 13.0,+32 06 27,1.58,A2+v,ALP Gem,0.198,239,0.0747,2.5,G,07 34 36.0,+31 53 19
,,,,,,,,,,,,,,,,*,1785.00,A,07 28 13.0,+32 06 27,1.98,A1   V,ALP Gem,0.198,239,0.0747,2.5,G,07 34 36.0,+31 53 19
